@id,@lon,@lat,name
1869987547,21.4388997,42.0014773,
1869987574,21.4387045,42.0018112,
1869987577,21.4385718,42.0015631,
1869987586,21.4389115,42.0018249,
1869987611,21.4386538,42.0015837,
1869987641,21.4386040,42.0014628,
1869987656,21.4385735,42.0014801,
1869987659,21.4389506,42.0015750,
1869987674,21.4389542,42.0014822,
1874177176,22.3551768,42.0332672,
1874177209,22.3556462,42.0339664,
1874177212,22.3565854,42.0331640,
1874177214,22.3563035,42.0333967,
1874177215,22.3567754,42.0330042,
1874177216,22.3567007,42.0328512,
1874177218,22.3562099,42.0322734,
1874177219,22.3558769,42.0325181,
1874177221,22.3560100,42.0336298,
1874177222,22.3568590,42.0323949,
1874177260,22.3555983,42.0328054,
1874177263,22.3554263,42.0330082,
1874177266,22.3552496,42.0333054,
1874177267,22.3549841,42.0336521,
1874178683,22.3551550,42.0337428,
1874196865,22.3530578,42.0367674,Осоговски Бисер
1880898090,22.8934533,41.6732445,
1880898135,22.8930401,41.6730962,
1880898162,22.8940033,41.6733385,
