@id,@lon,@lat,name,stars,city,street
1000000121390892,21.4237388,41.9953323,Ресторан 2 Златника,1,Skopje,Митрополит Теодосиј Гологанов
1000000121511379,21.4226605,41.9973394,Керпич,1,Skopje,Дебарца
1000000121511400,21.4220934,41.9962023,Дане,1,Skopje,Kiro Krstevski - Platnik
1000000121511815,21.422204,41.995115,Ка,3,Skopje,Митрополит Теодосиј Гологанов
1000000121511817,21.4182853,41.9954805,Ѓезме,0,Skopje,Костурски Херои
1000000122862785,21.422976,41.9989973,Мечос,1,Skopje,Leninova
1000000123273654,21.3743398,41.976999,Св.Пантелејмон - Клет,3,Gorno Nerezi,R2138
1000000159165683,21.756239,41.7788767,Bela Voda,1,Bashino Selo,R1102
1000000167856880,21.7446381,42.121648,Стара Бања,0,Kumanovo,Kumanovska Banja
1000000175441983,21.4622374,42.0030645,Боними,2,Skopje,Трифун Хаџијанев
1000000175463419,21.4599001,41.9979315,Дојрана,0,Skopje,Интернационални Бригади
1000000176147491,21.4239688,41.9996894,Sushi Ко,2,Skopje,Leninova
1000000176154876,21.4107344,42.0060096,Лира,0,Skopje,Nikola Tesla
1000000176159879,21.4384354,41.9968367,Стара куќа,0,Skopje,Пајко Маало
1000000176328169,21.4097243,42.0096654,Балканика,1,Skopje,Велосипедска патека Кеј
1000000176331794,21.4220098,42.006134,Уранија,0,Skopje,Stoltemberg
1000000176448667,21.427251,41.9957135,Ѕвезден Океан,3,Skopje,Лермонтова
1000000177045374,21.4140445,42.0081706,Ресторан Маргер,3,Skopje,Boulevard Ilinden
1000000181350830,22.3517411,41.3912335,Белов 113,2,Gradec,R1102
1000000183590615,21.4099117,42.0850789,Национален Ресторан Чардак,1,Mirkovci,R2239
1000000183593157,21.4107439,42.0863291,Вила Весница,0,Mirkovci,R2239
1000000187210554,21.7302575,42.1535677,Сателит 2000,2,Kumanovo,R2237
1000000198468705,21.6778762,41.3706233,Че,0,Pletvar,R1101
1000000209793109,21.1571267,41.2284641,Вила Горна Куќа,3,Slepche,L50205
1000000219773148,20.7426283,40.9141722,Острово,1,Lubanishta,R1301
1000000220094897,21.5509746,41.3429932,Европска Скара,2,Prilep,Andon Slabejkoski
1000000220107970,21.5571542,41.3472201,Македонска Куќа,2,Prilep,Joska Jordanoski-Sandanski
1000000220111149,21.5511472,41.3431694,Златно Буренце,3,Prilep,Andon Slabejkoski
1000000224256668,21.2482062,41.3682287,Андора,3,Krushevo,Blagoj Celev
1000000228158372,20.9704191,42.0016809,Arena,2,Tetovo,Браќа Миладинови
1000000228568803,20.9556657,41.5049147,Luna,1,Kichevo,Копачка
1000000230233483,20.951589,41.5170907,Milenium,0,Kichevo,Ilinden
1000000233484318,21.677938,41.3704576,Че,0,Pletvar,R1101
1000000236539239,21.4466299,41.9892137,Рулет,0,Skopje,Симеон Кавракиров
1000000241801379,20.9183388,41.5211545,House of Art,1,Knezhino,Кичево - Кнежино
1000000248508284,21.4260724,42.0015806,Sopotsko,1,Skopje,Крсто Баиќ
1000000263871750,21.5752234,41.9943076,Doma,3,Ilinden,Улица 15
1000000270528544,20.7942442,41.1126067,Света Софија,2,Ohrid,Цар Самоил
